Site_ID,Planned_Kiosk_Type,Installation_Status,PPT_ID,Legacy_ID,Borough,Council_District,Community_Board,Street_Address,Cross_Street_1,Cross_Street_2,IxN_Corner,Postcode,Zoning,Latitude,Longitude,Installation_Complete,Activation_Complete,Neighborhood_Tabulation_Area_(NTA),Building_Identification_Number_(BIN),Borough-Block-Lot_(BBL),Census_Tract_(CT),Location
mn-10-119898,Link1.0,Live,119898,mn-10-119898,Manhattan,9,110,2690 FREDERICK DOUGLASS BOULEVARD,WEST 143 STREET,WEST 144 STREET,NE,10030,C1-4,40.821596,-73.942699,1/25/17,2/22/17,Central Harlem North-Polo Grounds,1060431,1020290001,1023200,"(40.821596, -73.942699)"
mn-06-121426,Link1.0,Live,121426,mn-06-121426,Manhattan,4,106,705 2 AVENUE,EAST 38 STREET,EAST 37 STREET,SW,10016,C1-9,40.747251,-73.974241,3/18/18,5/17/18,Murray Hill-Kips Bay,1020340,1009180035,1007800,"(40.747251, -73.974241)"
mn-09-142532,Link1.0,Live,142532,mn-09-142532,Manhattan,9,109,1421 AMSTERDAM AVENUE,WEST 130 STREET,WEST 131 STREET,NE,10027,C1-4,40.8158,-73.954364,6/20/17,9/22/17,Manhattanville,1059623,1019700001,1021303,"(40.8158, -73.954364)"
mn-03-133442,Link1.0,Live,133442,mn-03-133442,Manhattan,2,103,145 4 AVENUE,EAST 14 STREET,EAST 13 STREET,SE,10003,C6-4,40.734127,-73.989778,10/22/16,11/10/16,East Village,1077569,1005590009,1004200,"(40.734127, -73.989778)"
mn-05-123789,Link1.0,Live,123789,mn-05-123789,Manhattan,2,105,25 EAST 29 STREET,MADISON AVENUE,PARK AVENUE,NE,10016,C5-2,40.744614,-73.985069,1/29/17,6/21/17,Midtown-Midtown South,1016929,1008590024,1007400,"(40.744614, -73.985069)"
mn-03-122371,Link1.0,Live,122371,mn-03-122371,Manhattan,1,103,323 GRAND STREET,ORCHARD STREET,LUDLOW STREET,SE,10002,C6-2,40.717095,-73.990581,11/11/17,2/9/18,Chinatown,1004005,1003090011,1001600,"(40.717095, -73.990581)"
bk-01-146011,Link1.0,Live,146011,LINK-021284,Brooklyn,33,301,63 GUERNSEY STREET,NASSAU AVENUE,NORMAN AVENUE,SW,11222,M1-1,40.72329,-73.952603,12/8/17,4/10/18,Greenpoint,3065960,3026430029,3056900,"(40.72329, -73.952603)"
mn-03-134173,Link5G_Ad,Live,134173,1255,Manhattan,1,103,165 EAST BROADWAY,RUTGERS STREET,CANAL STREET,SE,10002,C1-5,40.714,-73.989983,8/23/22,12/13/22,Lower East Side,1003627,1002840028,1000600,"(40.714, -73.989983)"
mn-07-120525,Link1.0,Live,120525,mn-07-120525,Manhattan,7,107,765 AMSTERDAM AVENUE,WEST 98 STREET,WEST 99 STREET,NE,10025,C1-5,40.795399,-73.969254,10/22/16,11/23/16,Upper West Side,1055899,1018520001,1018500,"(40.795399, -73.969254)"
mn-08-121988,Link1.0,Live,121988,mn-08-121988,Manhattan,4,108,30 EAST 64 STREET,MADISON AVENUE,5 AVENUE,SW,10065,C5-1,40.766737,-73.969318,12/18/16,4/21/17,Upper East Side-Carnegie Hill,1041045,1013780056,1012200,"(40.766737, -73.969318)"
