Site ID,Planned Kiosk Type,Installation Status,Street Address,Location,Borough,Installation Complete
si-01-152491,Link1.0,Live,175 LYNHURST AVENUE,"(40.617014, -74.074046)",Staten Island,10/18/2022
qu-01-145950,Link1.0,Live,42-27 35 AVENUE,"(40.754136, -73.919819)",Queens,08/31/2017
mn-07-136685,Link1.0,Live,995 COLUMBUS AVENUE,"(40.801001, -73.961448)",Manhattan,12/12/2017
bk-02-126904,Link1.0,Live,128 MONTAGUE STREET,"(40.694726, -73.994227)",Brooklyn,11/10/2017
bk-08-126832,Link1.0,Live,777 NOSTRAND AVENUE,"(40.670647, -73.950352)",Brooklyn,02/03/2017
mn-03-123383,Link5G_NonAd,Live,131 AVENUE C,"(40.7248591, -73.9783893)",Manhattan,05/24/2024
bk-09-153615,Link1.0,Live,145 MONTGOMERY STREET,"(40.666415, -73.959578)",Brooklyn,09/21/2022
mn-05-121481,Link1.0,Live,142 LEXINGTON AVENUE,"(40.743384, -73.982039)",Manhattan,01/28/2017
qu-06-145764,Link1.0,Live,98-108 QUEENS BOULEVARD,"(40.727095, -73.854789)",Queens,03/04/2017
mn-09-134377,Link1.0,Live,2868 BROADWAY,"(40.804959, -73.965902)",Manhattan,07/18/2017
mn-06-134832,Link1.0,Live,476 2 AVENUE,"(40.740233, -73.979048)",Manhattan,09/26/2017
bk-04-160000,Link5G_NonAd,Live,908 FLUSHING AVENUE,"(40.70214, -73.93532)",Brooklyn,01/24/2024
mn-04-136691,Link1.0,Live,505 8 AVENUE,"(40.753107, -73.992947)",Manhattan,05/26/2017
mn-03-134173,Link5G_Ad,Live,165 EAST BROADWAY,"(40.714, -73.989983)",Manhattan,08/23/2022
qu-04-125340,Link1.0,Live,81-18 ROOSEVELT AVENUE,"(40.747543, -73.884098)",Queens,07/08/2017
mn-04-136743,Link1.0,Live,117 9 AVENUE,"(40.743027, -74.004005)",Manhattan,10/15/2017
mn-08-135088,Link1.0,Live,1284 1 AVENUE,"(40.765665, -73.957409)",Manhattan,12/07/2017
bk-07-141621,Link1.0,Live,784 4 AVENUE,"(40.659902, -73.998822)",Brooklyn,03/03/2017
bk-04-127489,Link1.0,Live,569 WILSON AVENUE,"(40.691042, -73.908632)",Brooklyn,12/05/2022
mn-07-107927,Link1.0,Live,2227 BROADWAY,"(40.784128, -73.979996)",Manhattan,10/11/2017
bk-04-150849,Link1.0,Live,321 STARR STREET,"(40.7081743, -73.9201161)",Brooklyn,03/29/2024
qu-12-155917,Link1.0,Live,106-17 153rd STREET,"(40.695872, -73.800395)",Queens,11/01/2022
bk-08-145908,Link1.0,Live,888 PACIFIC STREET,"(40.680238, -73.964511)",Brooklyn,08/10/2017
mn-07-134449,Link1.0,Live,2008 BROADWAY,"(40.775532, -73.981973)",Manhattan,02/27/2018
mn-11-107218,Link1.0,Live,2120 3 AVENUE,"(40.797835, -73.940256)",Manhattan,03/05/2016
mn-06-133465,Link1.0,Live,451 3 AVENUE,"(40.743876, -73.979316)",Manhattan,01/15/2016
qu-01-125118,Link1.0,Live,43-02 30 AVENUE,"(40.762663, -73.912541)",Queens,06/24/2017
mn-05-122204,Link1.0,Live,3 WEST 44 STREET,"(40.754953, -73.980193)",Manhattan,02/11/2017
mn-06-138570,Link1.0,Live,245 EAST 40 STREET,"(40.748673, -73.973326)",Manhattan,11/04/2017
mn-06-136682,Link1.0,Live,828 2 AVENUE,"(40.751188, -73.971061)",Manhattan,01/27/2018
mn-12-120345,Link1.0,Live,845 RIVERSIDE DRIVE,"(40.836018, -73.947447)",Manhattan,10/08/2022
bk-01-146022,Link1.0,Live,2 DEVOE STREET,"(40.71308, -73.951285)",Brooklyn,12/02/2017
mn-05-122608,Link1.0,Live,888 8 AVENUE,"(40.763996, -73.984719)",Manhattan,10/15/2016
bk-09-154238,Link1.0,Live,468 ALBANY AVENUE,"(40.664073, -73.939992)",Brooklyn,12/02/2022
bx-02-100042,Link5G_Ad,Live,1102 LONGFELLOW AVENUE,"(40.82668, -73.887763)",Bronx,08/08/2022
mn-09-120570,Link1.0,Live,1661 AMSTERDAM AVENUE,"(40.823361, -73.948844)",Manhattan,10/14/2016
bk-08-127044,Link1.0,Live,590 NOSTRAND AVENUE,"(40.678268, -73.949798)",Brooklyn,02/03/2017
mn-07-120525,Link1.0,Live,765 AMSTERDAM AVENUE,"(40.795399, -73.969254)",Manhattan,10/22/2016
qu-12-151804,Link5G_Ad,Live,180-01 LINDEN BOULEVARD,"(40.692301, -73.766565)",Queens,09/07/2022
mn-05-134736,Link1.0,Live,777 7 AVENUE,"(40.761142, -73.98309)",Manhattan,05/02/2023
mn-06-138318,Link1.0,Live,643 2 AVENUE,"(40.74559596, -73.97544551)",Manhattan,01/27/2018
bk-17-145979,Link1.0,Live,2606 SNYDER AVENUE,"(40.648733, -73.952414)",Brooklyn,09/30/2017
mn-03-137963,Link1.0,Live,122B ORCHARD STREET,"(40.719504, -73.989474)",Manhattan,11/04/2016
mn-06-121490,Link1.0,Live,201 EAST 23 STREET,"(40.738827, -73.982886)",Manhattan,10/28/2017
mn-06-121787,Link1.0,Live,300 EAST 52 STREET,"(40.756018, -73.967467)",Manhattan,08/26/2017
mn-07-120401,Link1.0,Live,2800 BROADWAY,"(40.802957, -73.967371)",Manhattan,06/11/2016
qu-12-155281,Link1.0,Live,136-09 FARMERS BOULEVARD,"(40.67464, -73.763428)",Queens,08/30/2022
mn-08-121002,Link1.0,Live,200 EAST 74 STREET,"(40.770946, -73.959496)",Manhattan,10/01/2016
